Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
1150,6222,319.966,0.686,94.537,255.939,483.844,705.482,835.337,1128.017,2044.15,0.003
1155,3352.8,817.426,0.764,94.247,263.819,574.992,4450.072,4640.397,4900.222,5608.627,0.001
1160,5251.4,250.511,0.901,83.613,204.01,375.45,539.185,639.931,824.724,1278.846,0.004
1165,8371.8,241.94,0.61,78.658,194.624,359.599,521.277,625.657,837.56,1741.064,0.004
1170,7774.8,264.586,0.789,88.467,213.273,395.853,570.071,674.578,899.406,1494.517,0.004
1175,7245.8,284.612,0.961,96.155,224.011,423.458,613.987,734.525,979.652,1669.201,0.004
1180,6925.6,293.412,0.793,87.648,227.895,445.021,640.887,770.862,1035.684,1697.837,0.003
1185,6592,314.886,0.883,93.554,247.716,483.258,684.075,812.633,1076.772,1819.42,0.003
1190,6002.6,343.862,1.002,114.945,273.653,517.084,729.587,861.317,1155.32,2169.469,0.003
1195,1889.2,2072.32,0.716,116.625,273.883,681.805,8647.224,8887.401,9213.896,9843.666,0
1200,433,290.266,1.54,137.268,259.697,404.254,567.783,666.339,847.191,1240.714,0.003
1205,9049.4,225.023,0.829,69.632,181.718,335.259,491.07,589.534,795.626,1374.55,0.004
1210,8320,247.824,0.648,80.115,200.596,370.373,530.262,632.63,851.586,1703.046,0.004
1215,8014.8,255.777,0.555,84.304,205.092,381.285,555.173,657.246,872.262,1517.521,0.004
1220,7193.4,335.966,0.605,93.123,232.654,434.93,633.28,767.769,3516.477,4894.635,0.003
1225,2670.2,637.009,1.077,112.583,297.383,590.951,3098.395,3265.427,3590.314,4433.377,0.002
1230,4779.2,644.57,0.741,97.578,256.367,524.606,936.78,4297.388,4815.74,5594.36,0.002
1235,3813.2,245.702,0.961,93.883,204.441,358.237,510.882,610.522,771.034,1443.336,0.004
1240,8953.2,230.417,0.558,72.186,184.978,349.123,500.455,593.222,791.36,1267.549,0.004
1245,8178.8,249.788,0.495,78.509,199.94,377.905,540.108,646.809,854.636,1423.836,0.004
1250,7482,275.299,0.593,93.358,221.007,413.555,590.47,702.121,911.885,1589.385,0.004
1255,6033.8,548.063,1.114,95.875,236.307,459.096,746.1,4180.608,4606.488,5429.567,0.002
1260,2232,362.369,0.66,128.313,294.73,539.745,765.649,889.038,1165.083,1888.481,0.003
1265,2844.4,850.827,0.795,104.649,271.988,561.183,4086.982,4395.144,4682.31,5297.479,0.001
1270,7303.6,223.982,0.809,71.578,183.286,334.461,481.806,574.639,760.874,1401.865,0.004
1275,8927.6,230.138,0.581,70.597,185.951,345.324,502.241,597.503,796.117,1441.107,0.004
1280,7977.6,257.437,0.783,83.374,205.583,380.561,553.426,667.894,915.227,1695.235,0.004
1285,7578.6,270.786,0.529,87.466,216.48,405.316,584.37,694.662,926.471,1755.061,0.004
1290,7034.2,293.593,0.84,100.067,234.015,437.435,625.019,745.317,992.423,1931.531,0.003
1295,6913.8,299.113,0.557,90.243,229.225,451.45,662.29,791.724,1062.155,2020.845,0.003
1300,6317.8,319.936,0.725,98.444,257.472,482.882,689.541,823.233,1089.075,2670.149,0.003
1305,2440.8,1378.664,0.694,117.375,297.189,675.675,6654.284,6812.535,7093.255,7830.71,0.001
1310,2991.2,235.644,1.062,77.982,189.596,351.114,508.298,607.876,807.74,1253.95,0.004
1315,8778.6,232.817,0.633,76.282,186.159,345.724,503.744,602.296,806.107,1561.048,0.004
1320,8423.2,244.196,0.76,83.696,197.024,366.307,521.994,620.568,817.523,1290.703,0.004
1325,7690.2,265.343,0.555,90.97,210.237,395.794,568.828,678.186,891.117,1678.505,0.004
1330,7279.6,285.977,0.883,90.985,225.43,428.301,613.971,739.093,1008.162,2132.72,0.003
1335,6911.2,296.746,0.83,95.247,233.762,450.712,643.826,760.216,998.243,1730.515,0.003
1340,6292.2,331.847,0.952,106.713,258.661,492.402,716.491,857.916,1135.972,10675.565,0.003
1345,1406.2,2879.528,0.771,111.35,327.978,9097.003,9386.094,9456.213,9789.476,10235.683,0
1350,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000
